Categoria,Compañía,Emisora
Extranjero,MGM Resorts International,MGM.MX
Extranjero,Microsoft Corporation,MSFT.MX
Extranjero,"Micron Technology, Inc.",MU.MX
Extranjero,"Netflix, Inc.",NFLX.MX
Extranjero,"NIKE, Inc.",NKE.MX
Extranjero,NVIDIA Corporation,NVDA.MX
Extranjero,Pfizer Inc.,PFE.MX
Extranjero,The Procter & Gamble Company,PG.MX
Extranjero,"PayPal Holdings, Inc.",PYPL.MX
Extranjero,QUALCOMM Incorporated,QCOM.MX
Extranjero,Starbucks Corporation,SBUX.MX
Extranjero,AT&T Inc.,T.MX
Extranjero,Tencent Holdings Limited,TCEHYN.MX
Extranjero,"Tesla, Inc.",TSLA.MX
Extranjero,"Twitter, Inc.",TWTR.MX
Extranjero,"United Airlines Holdings, Inc.",UAL.MX
Extranjero,"Uber Technologies, Inc.",UBER.MX
Extranjero,Visa Inc.,V.MX
Extranjero,Wells Fargo & Company,WFC.MX
Extranjero,Walmart Inc.,WMT.MX
Extranjero,"Wynn Resorts, Limited",WYNN.MX
Extranjero,United States Steel Corporation,X.MX
Extranjero,Exxon Mobil Corporation,XOM.MX

